trade_direction,entry_atr_mult,sl_atr_mult,tp_atr_mult,min_sl,min_hold,max_hold,cooldown,long_threshold,short_threshold,signal_quantile,score,sharpe,total_ret,maxdd,win_rate,n_trades,n_long,n_short
long_only,0.3,2.5,3.0,0.01,4,24,3,0.85,0.15,0.15,1.1023778157766608,1.0411512755406507,0.2834129618038028,-0.1830830899542571,0.5472972972972973,148,148,0
long_only,0.6,1.5,2.0,0.015,8,24,2,0.85,0.15,0.15,1.1007369933648579,1.0435074519460468,0.29096620758529035,-0.17243256281633731,0.5290322580645161,155,155,0
long_only,1.0,1.5,2.5,0.01,8,24,3,0.85,0.15,0.15,1.0975524174960483,1.0459607342787758,0.27578992147464065,-0.14824564049046618,0.49375,160,160,0
long_only,0.6,1.5,3.0,0.01,8,24,2,0.85,0.15,0.15,1.0970402260736558,1.0456008963275674,0.28498456086598134,-0.1772231351692511,0.49382716049382713,162,162,0
long_only,1.0,1.5,2.5,0.01,8,24,2,0.8,0.2,0.2,1.0967019812110048,1.063462452115257,0.29897137594583056,-0.14569571503236906,0.4789473684210526,190,190,0
long_only,0.3,2.0,2.0,0.015,4,48,3,0.8,0.2,0.2,1.0960566409862866,1.0202958560401933,0.32797037005954355,-0.16219460535986963,0.562962962962963,135,135,0
long_only,0.3,2.0,3.0,0.01,4,24,2,0.8,0.2,0.2,1.0940720637942878,1.0582185445858272,0.3089465220169223,-0.15696056720870594,0.48404255319148937,188,188,0
long_only,0.3,2.0,3.0,0.015,4,48,3,0.8,0.2,0.2,1.0894094683068338,1.0045229658074286,0.35756780616614137,-0.19178268755265562,0.5555555555555556,126,126,0
long_only,0.3,2.5,2.0,0.015,4,48,2,0.8,0.2,0.2,1.081386243007945,1.0019062585645226,0.3294426292239032,-0.16863992511078618,0.5692307692307692,130,130,0
long_only,0.3,2.5,3.0,0.015,4,48,2,0.85,0.15,0.15,1.0786333132065873,1.0368003328772863,0.34585968646704224,-0.24601116469436882,0.5566037735849056,106,106,0
long_only,0.6,2.5,3.0,0.015,4,48,3,0.85,0.15,0.15,1.0746484932244964,1.0293179109362496,0.3400050895354032,-0.23128505992178278,0.5576923076923077,104,104,0
long_only,0.3,2.5,2.0,0.015,4,48,2,0.9,0.1,0.1,1.0681257748685322,1.0297381551194853,0.2870896073727174,-0.13849792931966257,0.5638297872340425,94,94,0
long_only,0.3,2.5,3.0,0.015,8,48,2,0.85,0.15,0.15,1.0631161884281695,1.0212832080988685,0.34585968646704224,-0.24601116469436882,0.5566037735849056,106,106,0
long_only,0.3,2.5,2.0,0.015,8,48,2,0.9,0.1,0.1,1.0622421859289082,1.0238545661798613,0.2870896073727174,-0.14805821109341324,0.5638297872340425,94,94,0
long_only,0.6,2.5,3.0,0.015,8,48,3,0.85,0.15,0.15,1.0590833815774583,1.0137527992892115,0.3400050895354032,-0.23128505992178278,0.5576923076923077,104,104,0
long_only,0.6,1.5,3.0,0.01,8,48,2,0.8,0.2,0.2,1.05695568976516,0.9961703473152244,0.30835433536588286,-0.18303430245481764,0.46405228758169936,153,153,0
long_only,1.0,2.0,3.0,0.015,4,48,2,0.8,0.2,0.2,1.0538105543335892,0.9737054870924201,0.3440109555706796,-0.20723089451757434,0.5396825396825397,126,126,0
long_only,0.3,1.5,2.0,0.01,8,24,2,0.85,0.15,0.15,1.0487218060466852,1.0027432263143452,0.26676911261709946,-0.16064853969271048,0.5120481927710844,166,166,0
long_only,0.3,2.0,2.0,0.015,4,48,2,0.8,0.2,0.2,1.0462576920931446,0.9733955457217,0.3140832866124761,-0.19379886954584005,0.5547445255474452,137,137,0
long_only,0.3,1.5,2.0,0.01,8,48,2,0.8,0.2,0.2,1.0447035900622332,0.995112603703461,0.28718665530143506,-0.17779890825961867,0.509090909090909,165,165,0
long_only,1.0,2.0,3.0,0.01,8,24,3,0.85,0.15,0.15,1.0285713135683856,0.9714105824280745,0.2651497616911822,-0.17370355156290604,0.5066666666666667,150,150,0
